id,orderdate,totalamount,status,currency,criticality,rating,paymentmethod,cRef_id,pRef_id

o01,2026-05-10T10:30:00,2798,delivered,₹,3,5,UPI,c01,p01

o02,2026-05-09T14:15:00,1499,cancelled,₹,1,4,Card,c02,p02

o03,2026-05-08T09:45:00,5999,delivered,₹,3,5,Net Banking,c03,p03

o04,2026-05-07T18:20:00,499,pending,₹,2,4,Cash,c04,p04

o05,2026-05-06T11:00:00,2499,cancelled,₹,1,3,UPI,c05,p05

o06,2026-05-05T16:40:00,3999,delivered,₹,3,5,Card,c06,p06

o07,2026-05-04T08:10:00,1299,delivered,₹,3,4,UPI,c07,p07

 
